title,topicDistribution,dominant_topic
健康,"[0.047839204447044856,0.07421960532081957,0.00024168872720697635,0.8336239465961828,0.04407555490874575]",3
科技資安,"[0.0008950378074214081,0.9962571811585719,0.0009408735427361188,0.0009805170345364102,0.0009263904567343176]",1
生活,"[0.000797321384771053,0.06908497455667503,0.9284162445940329,0.0008737702377591565,0.0008276892267617952]",2
生活,"[0.1699752083690669,0.0006809792559609982,0.3113505111521463,0.10203216953457245,0.41596113168825344]",4
生活,"[0.000516384247755622,0.4944263171835225,0.5039561405951287,0.0005657837182105612,0.0005353742553825893]",2
政治與政策,"[0.19148166577767778,0.6031714086939733,0.20466159084269184,0.00035232717743083694,0.00033300750822618164]",1
政治與政策,"[0.09159360943744677,0.0012053459752361148,0.9051166232503884,0.001072133229599478,0.001012288107329279]",2
政治與政策,"[0.1684500870081346,0.0005447580093536539,0.8300611342771684,0.0004849148405593272,0.0004591058647839931]",2
國際,"[0.0005529158853513223,0.8473936956154487,0.12438158800040187,0.0006040751045973141,0.02706772539420078]",1
國際,"[0.0005326819764550943,0.6156375428194196,0.0005602606478367709,0.0005836909673878948,0.38268582358890074]",1
政治與政策,"[0.4506717170183696,0.0008615753400298281,0.5469702961129485,0.000770450804613261,0.0007259607240387958]",2
科技資安,"[0.0008443083268925575,0.8027171728332969,0.000887663781040869,0.000930720901125558,0.19462013415764387]",1
政治與政策,"[0.0011638034480522805,0.7691877893634278,0.0012289386971776153,0.22720074622322742,0.0012187222681149415]",1
生活,"[0.0005175110304538386,0.0006376396073376345,0.9977369064627206,0.0005679617444358415,0.0005399811550520066]",2
健康,"[0.0004331843657493475,0.0005296783448952619,0.0004558652851587956,0.00047849738587647485,0.9981027746183201]",4
生活,"[0.0014450421048616752,0.7433156952978779,0.0015183026755733688,0.0015909896385921474,0.2521299702830949]",1
生活,"[0.00047264431731275407,0.0005815310065396536,0.11226903060963345,0.09854453206429661,0.7881322620022175]",4
環境能源,"[0.0005655517458975329,0.08358731460910271,0.46918361070080467,0.0006201286871587221,0.44604339425703626]",2
國際,"[0.00017929775440929111,0.8806459966908625,0.11879169012155123,0.00019696210683441197,0.0001860533263425463]",1
國際,"[0.0006401181604855245,0.8647136906580596,0.13328231561822096,0.0007006172479824182,0.000663258315251534]",1
國際,"[0.0009468547609938443,0.9960281711172171,0.0010013556521998698,0.001038935239879783,0.0009846832297094755]",1
國際,"[0.0005270092769498559,0.997806453676378,0.0005504644411945333,0.0005734495261973235,0.000542623079280226]",1
科技資安,"[0.0008440181588016081,0.7933516360495843,0.20400471418438704,0.0009241133792873672,0.0008755182279397778]",1
國際,"[0.0007733616008508341,0.9967594540753985,0.0008167982533557253,0.0008471093187101265,0.0008032767516848018]",1
國際,"[0.0012240653623210812,0.9948677335454267,0.0012929455852490784,0.001342735029455607,0.0012725204775475704]",1
國際,"[0.0012240653623210812,0.9948677335454267,0.0012929455852490784,0.001342735029455607,0.0012725204775475704]",1
政治與政策,"[0.0008082922550879434,0.556426071113036,0.44104076284030497,0.0008849437382597608,0.0008399300533111533]",1
國際,"[0.0005293042880022207,0.99778079735408,0.0005591221388444227,0.0005810285182764215,0.0005497477007968144]",1
政治與政策,"[0.06520672066396653,0.3496397657158135,0.5842947926953488,0.00044121114467595915,0.00041750978019539233]",2
國際,"[0.0007194649681519161,0.9969846161971578,0.0007596433704848973,0.0007878317391936531,0.0007484437250116803]",1
政治與政策,"[0.0004594900762004353,0.9980733903261002,0.0004835609291496069,0.0005047260093824396,0.0004788326591672562]",1
政治與政策,"[0.20845015258627506,0.3892177060111409,0.4005511836220045,0.000914205447156018,0.0008667523334235194]",2
國際,"[0.600214519743593,0.3654791460936663,0.03378881408365645,0.0002661706082871916,0.0002513494707971171]",0
政治與政策,"[0.0004949914704448177,0.16336866933040922,0.8350803886414635,0.0005433577294074323,0.0005125928282749985]",2
政治與政策,"[0.003971333595557456,0.00490020111985609,0.982669492681133,0.0043500785915034324,0.004108894011949855]",2
國際,"[0.0011021964165143106,0.9953866318957802,0.001159572103490988,0.001206541555480976,0.001145058028733496]",1
國際,"[0.0011021964165143106,0.9953866318957802,0.001159572103490988,0.001206541555480976,0.001145058028733496]",1
國際,"[0.000521010131794301,0.9978140829951703,0.0005476861572391945,0.0005748707622870531,0.0005423499535092445]",1
生活,"[0.046878619551995605,0.845137655288916,0.10677051593413098,0.0006236986332982201,0.0005895105916591611]",1
國際,"[0.0007746233125475213,0.9967579107691057,0.000814745304162061,0.0008482435778289729,0.0008044770363557253]",1
政治與政策,"[0.0009360652199324377,0.853795967722522,0.04442719715548976,0.09987063649704554,0.0009701334050102879]",1
國際,"[0.0005981716856505653,0.9974991729239606,0.0006290804212455409,0.0006544152627266462,0.0006191597064166516]",1
政治與政策,"[0.0012854462320796506,0.9946158247175468,0.0013565447729680814,0.0014076991715794617,0.0013344851058260904]",1
政治與政策,"[0.00036435432211830745,0.7802409099006485,0.06939499153598049,0.14962256598842644,0.00037717825282614244]",1
政治與政策,"[0.0008410288931959209,0.9964748876930771,0.0008869949902322848,0.0009216782080989093,0.0008754102153957622]",1
國際,"[0.0003963812342674227,0.5366373080838994,0.07691629337423636,0.3856400483424106,0.0004099689651863472]",1
生活,"[0.17984307180571263,0.1512024272427604,0.0005494505795490793,0.0005771682003491515,0.6678278821716289]",4
政治與政策,"[0.028747436582771433,0.18062685231982212,0.7120591487386319,0.0004881488564429899,0.07807841350233159]",2
生活,"[0.00045111769006086984,0.0005505436147155068,0.3805920544842452,0.0004961394476235664,0.6179101447633549]",4
國際,"[0.7116372990406367,0.28533098529393075,0.001002324545253754,0.0010421609356526253,0.0009872301845260988]",0
國際,"[0.0004019753886673314,0.30469978230854,0.4244734032906551,0.2700093394090478,0.0004154996030897859]",2
生活,"[0.09189052209388232,0.7306398972756837,0.13386366738745062,0.0009220695617019881,0.042683843681281364]",1
政治與政策,"[0.6776085681659778,0.17756372782593252,0.14410795735482407,0.0003702619935757089,0.00034948465968983884]",0
國際,"[0.39517678115790467,0.332215115244761,0.27148456823506634,0.0005770702647946734,0.0005464650974734132]",0
健康,"[0.0002846764261814171,0.00034796715245060463,0.00029856353957736375,0.3998411996468989,0.5992275932348917]",4
國際,"[0.0024148150436782354,0.9898955160485788,0.002543788928001262,0.002642051414259473,0.0025038285654821538]",1
政治與政策,"[0.9988206223753457,0.00032933522686787,0.00028123629376371976,0.0002923030579937909,0.0002765030460288289]",0
生活,"[0.0009301249611920573,0.8382152643135692,0.15886400526481737,0.0010191560369658403,0.0009714494234555937]",1
政治與政策,"[0.0007837059807273786,0.9967199802985743,0.0008239010922265097,0.0008600094380704452,0.0008124031904014111]",1
生活,"[0.001298699215329204,0.00160370474348766,0.8179886788684368,0.0014223940500457416,0.17768652312270058]",2
國際,"[0.00036165776709721267,0.9500906228210682,0.048775964766797665,0.00039664520716012114,0.0003751094378769564]",1
生活,"[0.0017990322766396139,0.0022392922393068664,0.992121677242774,0.001969832846346822,0.0018701653949327567]",2
國際,"[0.6980672321446247,0.2998454559800458,0.0006901718929112991,0.0007171355847681405,0.0006800043976500292]",0
生活,"[0.0005556363563440634,0.0006812150379302839,0.5531490575929131,0.04953549335847216,0.3960785976543404]",2
國際,"[0.09701044028457567,0.8999554298238404,0.0010017935370566953,0.001044008383603225,0.0009883279709240725]",1
國際,"[0.6668278853655087,0.3318984799566965,0.0004210200319466612,0.00043821731460347193,0.0004143973312446872]",0
科技資安,"[0.051702159862450324,0.5670437093761536,0.08257347439318306,0.0880926012401236,0.2105880551280895]",1
國際,"[0.0007419572417257016,0.9652491269067415,0.032428475172451954,0.0008116753234244414,0.0007687653556563763]",1
國際,"[0.000515791866293148,0.8677720462318412,0.13061123585104414,0.0005648102995106734,0.000536115751310789]",1
國際,"[0.0399949791412917,0.7204382630454529,0.04492235749671922,0.0006950348588127763,0.19394936545772334]",1
生活,"[0.0010159011392018053,0.556295956181128,0.2959685228779796,0.05124482281745208,0.0954747969842387]",1
國際,"[0.00090084171177969,0.9546174856506047,0.042560109594120925,0.0009858669165977566,0.0009356961268969958]",1
健康,"[0.0008574414645265856,0.0010534942412435042,0.0009029031257728217,0.9962929049186122,0.0008932562498449688]",3
健康,"[0.00031116629310926736,0.0003814543798945879,0.00032694616607659334,0.32822087625258656,0.6707595569083329]",4
國際,"[0.27712687598771957,0.6167782303623013,0.1041660264870118,0.000990518780091491,0.0009383483828757868]",1
政治與政策,"[0.05569565520418856,0.0006618113087737638,0.9425011942218463,0.0005872411096936451,0.000554098155497585]",2
國際,"[0.0005073402914739686,0.9978753516468698,0.000533360733163326,0.000557212937946132,0.0005267343905467215]",1
環境能源,"[0.0004679994199507201,0.0005758672257639511,0.12653768599494283,0.0005129296938937362,0.8719055176654488]",4
國際,"[0.0008259747356224353,0.9307155697874305,0.06671442375018771,0.0008957790316671124,0.000848252695092124]",1
生活,"[0.0008541963915957085,0.6320927070674813,0.0009002657598225527,0.0009371238173339924,0.3652157069637665]",1
國際,"[0.0008183722883546612,0.8981492056369796,0.09928671505963467,0.0008964788071304184,0.0008492282079007072]",1
健康,"[0.00035548864288991133,0.0004348115489517785,0.00037388869346155647,0.6017852165295408,0.397050594585156]",3
國際,"[0.0006163980166509047,0.8998733441743927,0.0981942187231341,0.0006757554497815673,0.0006402836360408762]",1
政治與政策,"[0.027521407593434397,0.6431708992696317,0.3270859130576876,0.0011431490194121654,0.0010786310598342565]",1
政治與政策,"[0.002317641412985192,0.9181611006432482,0.04503787288809027,0.0025350722564411706,0.03194831279923533]",1
國際,"[0.0007721110183481134,0.996763719157973,0.0008145168168810892,0.0008440892231418841,0.0008055637836559614]",1
生活,"[0.00034340020497664877,0.22811697569282055,0.00036035533891597095,0.0003762504392800407,0.7708030183240068]",4
生活,"[0.1389911439024296,0.2760658982417962,0.5831917817890551,0.0009000581921186579,0.0008511178746005225]",2
政治與政策,"[0.0007891753112431343,0.9966939682571052,0.0008328119467309152,0.0008634700157601212,0.0008205744691605195]",1
政治與政策,"[0.1566772710470367,0.5504395865739435,0.2923670211408501,0.00026530231223903457,0.00025081892593060116]",1
國際,"[0.0017504786334295247,0.9926908873063508,0.0018433465571573257,0.001910091225956627,0.0018051962771056694]",1
政治與政策,"[0.0007957016908475098,0.8617478761237898,0.1357606249640807,0.0008692098193871877,0.0008265874018948823]",1
科學研究,"[0.0003772559605873552,0.4400587200739711,0.00039693164081855165,0.00041388151200019973,0.5587532108126229]",4
國際,"[0.0004974804713835686,0.9718757114887502,0.0005250774822536193,0.0005441345344751141,0.026557596023137627]",1
查核報告,"[0.0005311895628538354,0.33463912689019043,0.22567976143167873,0.0005836098049463558,0.4385663123103308]",4
健康,"[0.0004280973093232237,0.0005261860652576137,0.0004507814234808683,0.9981481856274013,0.00044674957453705685]",3
國際,"[0.0005242932056267365,0.9185564029678407,0.07979738582206607,0.0005768689143481123,0.000545049090118489]",1
國際,"[0.0009692420507346626,0.5788022039946114,0.31181810263999543,0.0010656123756217475,0.10734483893903687]",1
科技資安,"[0.09926354030160285,0.7231549701118845,0.17645977576430538,0.0005769632638230186,0.0005447505583841305]",1
國際,"[0.00047212367402590136,0.998033405342718,0.0004935664719657681,0.0005142546425911085,0.00048664986869916926]",1
科技資安,"[0.0007978669498467389,0.9966588594047071,0.0008446528549471054,0.0008725614651233257,0.0008260593253758948]",1
生活,"[0.059709340462047976,0.0006024549638947556,0.38766898411635553,0.0005334155958584386,0.5514858048618433]",4
國際,"[0.0007832773458733916,0.9967166448731709,0.0008269715855568695,0.0008571852375747945,0.0008159209578241092]",1
國際,"[0.0011158842882413417,0.9953179642544416,0.00117616448068569,0.001222712330774122,0.001167274645857325]",1
生活,"[0.0008219955904870161,0.8037889340494897,0.19363558974035627,0.0009010392487798801,0.0008524413708870495]",1
生活,"[0.0016373959397011815,0.1331778188050816,0.6149858893837581,0.0017937401121710952,0.2484051557592881]",2
生活,"[0.0015154093283859219,0.2894082809741566,0.5760352418453406,0.0016633635609102169,0.13137770429120665]",2
生活,"[0.001499696078292514,0.546556609293359,0.44873915234670864,0.0016424070800173426,0.0015621352016225087]",1
政治與政策,"[0.0010524627042643314,0.556060722727648,0.44063642957178434,0.0011550851218566352,0.0010952998744467861]",1
科技資安,"[0.0007671992310818661,0.5272084604307187,0.47039012345493475,0.0008407117571547434,0.0007935051261098696]",1
政治與政策,"[0.17185391213362297,0.27191244743391074,0.49543305273388116,0.06027175722662447,0.0005288304719606282]",2
健康,"[0.0006218189597153678,0.0796859320279647,0.0006569700503408888,0.8015800114731924,0.11745526748878664]",3
政治與政策,"[0.027363485326553076,0.6664673807973734,0.3049047628130958,0.0006512880725385112,0.0006130829904392365]",1
生活,"[0.0008245868919913446,0.5157679999212137,0.4816488993576432,0.000902765937517457,0.0008557478916342135]",1
國際,"[0.0005178924921916135,0.9773856043299465,0.020986439700343796,0.0005706006011438039,0.0005394628763743132]",1
國際,"[0.0008352316505573431,0.9965000293317733,0.0008803420377820535,0.0009191651710965738,0.0008652318087906948]",1
健康,"[0.05713778393006627,0.10233933332607494,0.0005000603909591949,0.8395290067703115,0.0004938155825880002]",3
國際,"[0.0013865013183072153,0.9941883063366813,0.0014610442788740863,0.001523606503330505,0.0014405415628068222]",1
政治與政策,"[0.0002260842758116967,0.00027625959275667496,0.9990156979498827,0.0002476237838834455,0.00023433439766559676]",2
政治與政策,"[0.3411646298330355,0.5773195156194004,0.07808818209335454,0.0017612426888195312,0.0016664297653897944]",1
生活,"[0.0009585732294748583,0.670356913511352,0.0010096325186231248,0.13806065098587714,0.18961422975467287]",1
國際,"[0.0008455694853334853,0.7092988367525819,0.2880511993098906,0.0009239751138142989,0.0008804193383796679]",1
健康,"[0.0005944496210517113,0.07270892698720118,0.0006259611364048816,0.9254551205661056,0.0006155416892367589]",3
國際,"[0.0004925140983072754,0.911747114678218,0.08670940698491791,0.000538459047879812,0.0005125051906769721]",1
國際,"[0.0007617611367762138,0.6619064613704678,0.2225891490384035,0.11394939870371024,0.0007932297506421589]",1
生活,"[0.0003957236057529259,0.051383014878889945,0.00041559907527370855,0.7583370594340568,0.18946860300602658]",3
生活,"[0.34112715475826905,0.00047484715690562963,0.0004091015048386417,0.0004286264293687744,0.657560270150618]",4
國際,"[0.000873528396025576,0.9963360539155031,0.0009251688330943076,0.0009607151827895145,0.0009045336725875203]",1
政治與政策,"[0.00046309488239560433,0.6663662160643902,0.33218071084421813,0.0005088547563195713,0.00048112345267638007]",1
國際,"[0.0006942985088580586,0.7634143068650999,0.23440673223317302,0.0007626138412329741,0.0007220485516360813]",1
環境能源,"[0.0006348477276733288,0.761555682218104,0.0006707538152153134,0.1347326687665919,0.10240604747241541]",1
國際,"[0.0005857065810469755,0.9975425132555351,0.0006194759303225754,0.0006433029310076325,0.0006090013020878237]",1
政治與政策,"[0.0009833972905310333,0.0012071021904161642,0.9957170334391412,0.001076002204125653,0.0010164648757860486]",2
國際,"[0.001621188965790907,0.9932167674045225,0.0017079965573785845,0.0017731188430788576,0.0016809282292291753]",1
政治與政策,"[0.0002500432009088046,0.3198121164696591,0.6523086057797498,0.027369766370006182,0.0002594681796760556]",2
查核報告,"[0.00033863927312674015,0.6757885655495144,0.13971853184498947,0.0003710748189474798,0.183783188513422]",1
生活,"[0.0008367214601539317,0.34152199746391104,0.0008745422562224519,0.0009122538382559918,0.6558544849814565]",4
國際,"[0.001023417560859847,0.9957082477066347,0.0010796009828336246,0.0011263530180017167,0.001062380731670166]",1
健康,"[0.0004975844113819303,0.000611232654514315,0.0005237555939158483,0.5387021741447547,0.45966525319543317]",3
健康,"[0.00028106039579290883,0.0003427295232486349,0.00029599747744529006,0.07800707193579243,0.9210731406677206]",4
生活,"[0.020233176531208936,0.45022418872435854,0.5280417729333583,0.000771943655541964,0.0007289181555323289]",2
國際,"[0.1522270337898815,0.8452387546649887,0.0008381945374750189,0.0008702404484212606,0.0008257765592335769]",1
健康,"[0.0006745371148701954,0.0008300925269398123,0.0007111978257957701,0.3325554235345176,0.6652287489978767]",4
國際,"[0.05305608961666368,0.6567660378764578,0.2326261454697782,0.0006618600906972528,0.05688986694640295]",1
國際,"[0.0005418546950180408,0.9977286467555897,0.000570727662740715,0.0005955403304253259,0.0005632305562262095]",1
國際,"[0.025093276386436603,0.972761496393632,0.0007093724118551661,0.0007385846893910376,0.0006972701186850831]",1
政治與政策,"[0.0019082248611003282,0.2776747065431866,0.7163464672015674,0.0020903808169050525,0.001980220577240671]",2
政治與政策,"[0.0006696641764535567,0.6303241070155106,0.36758564572309715,0.0007292754804695545,0.0006913076044691298]",1
政治與政策,"[0.00032706754023676017,0.6746958657712071,0.3242779485482353,0.0003594338825338681,0.0003396842577868476]",1
國際,"[0.0006787209802571187,0.9971502871351201,0.0007165919426800407,0.0007472743279657989,0.0007071256139768918]",1
健康,"[0.0009539014307520352,0.0011804011145980548,0.0010039939909312129,0.5884737282086056,0.40838797525511317]",3
生活,"[0.07574838050212011,0.00046037975007273446,0.9229954982925026,0.0004095335361825277,0.0003862079191220661]",2
政治與政策,"[0.10488077567254389,0.6698039565168179,0.22324456589953004,0.0010631803199157928,0.0010075215911923897]",1
健康,"[0.1676651704051822,0.20476679043282925,0.0004911776781789666,0.6265916259597133,0.00048523552409630475]",3
政治與政策,"[0.0006261199442891543,0.47442595003629345,0.5236142954473778,0.0006842420910369,0.0006493924810025679]",2
健康,"[0.00033131582492764366,0.11983313327955648,0.0003492650514110183,0.8791409787261415,0.0003453071179633113]",3
政治與政策,"[0.0005223762641941434,0.785936069259847,0.21242537900598082,0.0005741914147847552,0.0005419840551930798]",1
國際,"[0.02914036108611699,0.9690363423093264,0.0006031837971704327,0.0006285671885357077,0.0005915456188504954]",1
健康,"[0.0014726629070493965,0.1462789113844211,0.001551209337786169,0.8491664782016611,0.0015307381690823295]",3
生活,"[0.00043694296851081864,0.0005361109765724125,0.00046083542707662454,0.00048041023270255727,0.9980857003951377]",4
政治與政策,"[0.0009099520149153783,0.904264895280507,0.09288064158574978,0.0009980240829109077,0.0009464870359168329]",1
生活,"[0.000319605244432443,0.0003955263552243344,0.0003361085765590885,0.49534095660059607,0.5036078032231881]",4
國際,"[0.0007941827118528573,0.9689262099334985,0.028583220608406266,0.0008689954813406769,0.0008273912649017438]",1
政治與政策,"[0.001218745975828113,0.6545804069566166,0.34160148484336084,0.0013355403655398994,0.001263821858654867]",1
科技資安,"[0.0005532675370764709,0.9658103665328532,0.0005820497009079838,0.0006077258020671887,0.03244659042709506]",1
政治與政策,"[0.0007910217250002738,0.9966859939221382,0.0008317954765632125,0.0008679799656892343,0.0008232089106092131]",1
政治與政策,"[0.0006520202852764569,0.6303310666876109,0.36762227672453357,0.0007163357301811387,0.000678300572397997]",1
政治與政策,"[0.0006744044607706493,0.9971733425468939,0.0007095934743085506,0.000737905005633913,0.0007047545123929216]",1
政治與政策,"[0.0012507350633883974,0.6811291829651179,0.314959360120417,0.0013658629708484921,0.001294858880228251]",1
國際,"[0.0008394434211602633,0.9964870833989933,0.0008857652080046471,0.0009178508840565539,0.000869857087785327]",1
政治與政策,"[0.000712705785647008,0.6768707338721196,0.32089212726679217,0.0007847756091665125,0.0007396574662747105]",1
健康,"[0.0366040165345494,0.0008715065972439285,0.0007428693799634708,0.9610491876573756,0.0007324198308676801]",3
政治與政策,"[0.0009947192827086393,0.9368140751047759,0.060060000014573366,0.0010930228946752693,0.0010381827032668197]",1
國際,"[0.0009581776847848766,0.995985990487115,0.001007066800513111,0.0010519503243135865,0.0009968147032734377]",1
國際,"[0.0008360953800857847,0.9964961284324431,0.0008811806813654604,0.0009152900591306703,0.0008713054469751042]",1
國際,"[0.0003345396349926171,0.5209807724372671,0.00035074146229342284,0.08253318857254398,0.39580075789290275]",1
科技資安,"[0.0005697979467864222,0.9976107434478299,0.0006014449745627624,0.0006261375501798517,0.0005918760806410667]",1
健康,"[0.00036477430948374923,0.0004482919484223598,0.00038348948499935344,0.5359484276823522,0.4628550165747424]",3
科技資安,"[0.0008997754889636169,0.9962319823673607,0.0009496451714227226,0.0009851971967009224,0.0009333997755520374]",1
政治與政策,"[0.0005457091028747864,0.9618184328079606,0.0005762339609854143,0.0005995498306727576,0.03646007429750618]",1
國際,"[0.0008566630044335898,0.9964108058243083,0.0009019494902092776,0.0009396759267804892,0.0008909057542682263]",1
政治與政策,"[0.0042645658819608035,0.9821502780763104,0.0044857350566901875,0.0046633073311702486,0.004436113653868408]",1
國際,"[0.0008550467551716271,0.7401215953158237,0.0009020353084631842,0.000932490713374717,0.2571888319071668]",1
政治與政策,"[0.0006850591526237807,0.8669455393328461,0.0007207872605997941,0.0007487888315383411,0.13089982542239192]",1
國際,"[0.19901637720944296,0.7983846621610611,0.0008590558382091826,0.0008941764192857918,0.0008457283720010643]",1
國際,"[0.00039319190302105554,0.7532461393117025,0.245522248285062,0.00043109850031468723,0.000407321999899883]",1
國際,"[0.11275295877323366,0.8841713613610318,0.0010138295303703732,0.0010596603703228033,0.001002189965041474]",1
國際,"[0.0008481082095074411,0.9611075472799729,0.0008930158992482078,0.0009307354203675329,0.036220593190903976]",1
國際,"[0.0016551785551161945,0.7917980641836061,0.2030231244640239,0.0018106736631828238,0.0017129591340710373]",1
國際,"[0.0005010057081252107,0.9978995479934334,0.0005270567955431841,0.0005510972101858318,0.0005212922927122788]",1
政治與政策,"[0.0013742784932501398,0.0016923711044947469,0.9939995548255457,0.0015065742559166398,0.0014272213207927329]",2
國際,"[0.0017110530727444866,0.9928205061287952,0.0018030271724361116,0.0018882018323701597,0.001777211793653842]",1
生活,"[0.0005116136827394513,0.0006201425688682872,0.9977841663140843,0.0005564738134830235,0.0005276036208249165]",2
政治與政策,"[0.0006383427251699597,0.9101683975872477,0.0006737633345592619,0.000701194238319728,0.0878183021147034]",1
健康,"[0.0003395152652849509,0.0004159808928630382,0.0003577844408252098,0.6064483355958656,0.39243838380516116]",3
國際,"[0.0011148221008414234,0.9953292665869602,0.001175318992043659,0.001221521421889766,0.0011590708982648096]",1
國際,"[0.0008772135052561202,0.9963260037835631,0.0009214795883563704,0.0009644763103105778,0.000910826812513926]",1
政治與政策,"[0.0005713600223722782,0.7717023763051226,0.22650576374104825,0.0006250568635165275,0.000595443067940362]",1
國際,"[0.0005380769775970699,0.9977508024763829,0.0005639637758289395,0.0005906106611187652,0.0005565461090720911]",1
政治與政策,"[0.001543537664333654,0.09951534587374267,0.8956454840127499,0.0016927271185564771,0.0016029053306173284]",2
國際,"[0.0007371307073400905,0.9969380447826585,0.0007678373823352345,0.0008001221002006088,0.0007568650274655846]",1
健康,"[0.00067640840154999,0.000828715573880161,0.0007118348367635308,0.889073159042367,0.10870988214543938]",3
國際,"[0.0006044197836419301,0.9415008618362537,0.0006354003074338592,0.000660568565553101,0.05659874950711745]",1
政治與政策,"[0.09564394357955397,0.3718755851810144,0.5290199913508973,0.0017768926704274971,0.0016835872181068018]",2
國際,"[0.000720275429046793,0.9969914538630453,0.0007560275200871837,0.0007865522823955283,0.0007456909054250449]",1
國際,"[0.0010405780968522466,0.9956565057358441,0.001091590193955216,0.0011348315902801212,0.0010764943830683272]",1
健康,"[0.0003598423101286076,0.0004394061075065499,0.00037842008881957,0.7746416815682885,0.22418064992525688]",3
國際,"[0.000872552125137333,0.7756160466483042,0.22165280836570672,0.0009555878238778832,0.0009030050369738667]",1
政治與政策,"[0.14178551874749487,0.000733141627767076,0.5673504001428488,0.28951512943785623,0.0006158100440330622]",2
政治與政策,"[0.0013425108572755321,0.4886304753396557,0.5071735059149033,0.0014637855042067096,0.0013897223839587284]",2
國際,"[0.0004492730569641087,0.6568454683156977,0.3417460785263126,0.0004924920009062697,0.0004666881001193867]",1
政治與政策,"[0.3205539974250655,0.6755869933749037,0.001278820595961018,0.0013242609908478502,0.0012559276132219255]",1
國際,"[0.0006064806682084649,0.9624866197034998,0.0006389859624795374,0.0006660828825344174,0.035601830783277694]",1
國際,"[0.0005032484663463385,0.997886821457049,0.0005307504653543131,0.0005540248565630205,0.0005251547546872086]",1
環境能源,"[0.0008154787220685866,0.5520210973534142,0.0008583367304048267,0.06279508615168428,0.38351000104242816]",1
國際,"[0.0004811114974987475,0.3614309970771482,0.000505680134616747,0.0005284191316738433,0.6370537921590623]",4
國際,"[0.0004963496871542585,0.8513114574373044,0.14713328480263677,0.0005437524719150423,0.00051515560098955]",1
國際,"[0.000848630908949191,0.2622401664583211,0.7351023849551227,0.0009289521973666683,0.0008798654802403888]",2
國際,"[0.0016266492066326925,0.9932022589014579,0.0017105578022508232,0.0017716004847919996,0.001688933604866663]",1
